yr,cluster_id,full_name,country,field,indicator,value
1980,700227,"gaston, kj",United Kingdom,Biology,cum_cit,0
1981,700227,"gaston, kj",United Kingdom,Biology,cum_cit,0
1982,700227,"gaston, kj",United Kingdom,Biology,cum_cit,0
1983,700227,"gaston, kj",United Kingdom,Biology,cum_cit,0
1984,700227,"gaston, kj",United Kingdom,Biology,cum_cit,0
1985,700227,"gaston, kj",United Kingdom,Biology,cum_cit,0
1986,700227,"gaston, kj",United Kingdom,Biology,cum_cit,0
1987,700227,"gaston, kj",United Kingdom,Biology,cum_cit,0
1988,700227,"gaston, kj",United Kingdom,Biology,cum_cit,4
1989,700227,"gaston, kj",United Kingdom,Biology,cum_cit,18
1990,700227,"gaston, kj",United Kingdom,Biology,cum_cit,52
1991,700227,"gaston, kj",United Kingdom,Biology,cum_cit,94
1992,700227,"gaston, kj",United Kingdom,Biology,cum_cit,167
1993,700227,"gaston, kj",United Kingdom,Biology,cum_cit,253
1994,700227,"gaston, kj",United Kingdom,Biology,cum_cit,394
1995,700227,"gaston, kj",United Kingdom,Biology,cum_cit,531
1996,700227,"gaston, kj",United Kingdom,Biology,cum_cit,814
1997,700227,"gaston, kj",United Kingdom,Biology,cum_cit,1123
1998,700227,"gaston, kj",United Kingdom,Biology,cum_cit,1571
1999,700227,"gaston, kj",United Kingdom,Biology,cum_cit,2098
2000,700227,"gaston, kj",United Kingdom,Biology,cum_cit,2659
2001,700227,"gaston, kj",United Kingdom,Biology,cum_cit,3194
2002,700227,"gaston, kj",United Kingdom,Biology,cum_cit,3899
2003,700227,"gaston, kj",United Kingdom,Biology,cum_cit,4706
2004,700227,"gaston, kj",United Kingdom,Biology,cum_cit,5582
2005,700227,"gaston, kj",United Kingdom,Biology,cum_cit,6674
2006,700227,"gaston, kj",United Kingdom,Biology,cum_cit,8012
2007,700227,"gaston, kj",United Kingdom,Biology,cum_cit,9611
2008,700227,"gaston, kj",United Kingdom,Biology,cum_cit,11262
2009,700227,"gaston, kj",United Kingdom,Biology,cum_cit,13121
2010,700227,"gaston, kj",United Kingdom,Biology,cum_cit,15165
2011,700227,"gaston, kj",United Kingdom,Biology,cum_cit,17546
2012,700227,"gaston, kj",United Kingdom,Biology,cum_cit,20067
2013,700227,"gaston, kj",United Kingdom,Biology,cum_cit,22796
2014,700227,"gaston, kj",United Kingdom,Biology,cum_cit,25733
2015,700227,"gaston, kj",United Kingdom,Biology,cum_cit,29147
2016,700227,"gaston, kj",United Kingdom,Biology,cum_cit,32625
2017,700227,"gaston, kj",United Kingdom,Biology,cum_cit,36631
2018,700227,"gaston, kj",United Kingdom,Biology,cum_cit,41175
2019,700227,"gaston, kj",United Kingdom,Biology,cum_cit,45853
1980,3361896,"bollerslev, t",Denmark,Economics,cum_cit,0
1981,3361896,"bollerslev, t",Denmark,Economics,cum_cit,0
1982,3361896,"bollerslev, t",Denmark,Economics,cum_cit,0
1983,3361896,"bollerslev, t",Denmark,Economics,cum_cit,0
1984,3361896,"bollerslev, t",Denmark,Economics,cum_cit,0
1985,3361896,"bollerslev, t",Denmark,Economics,cum_cit,0
1986,3361896,"bollerslev, t",Denmark,Economics,cum_cit,0
1987,3361896,"bollerslev, t",Denmark,Economics,cum_cit,2
