"yr","cluster_id","full_name","n_pubs","n_cits","country","field","cum_cit","cum_pub","total_cit","total_pub","cum_pct_cit","cum_pct_pub"
1980,700227,"gaston, kj",0,0,"United Kingdom","Biology",0,0,45853,602,0,0
1981,700227,"gaston, kj",0,0,"United Kingdom","Biology",0,0,45853,602,0,0
1982,700227,"gaston, kj",0,0,"United Kingdom","Biology",0,0,45853,602,0,0
1983,700227,"gaston, kj",0,0,"United Kingdom","Biology",0,0,45853,602,0,0
1984,700227,"gaston, kj",0,0,"United Kingdom","Biology",0,0,45853,602,0,0
1985,700227,"gaston, kj",0,0,"United Kingdom","Biology",0,0,45853,602,0,0
1986,700227,"gaston, kj",0,0,"United Kingdom","Biology",0,0,45853,602,0,0
1987,700227,"gaston, kj",1,0,"United Kingdom","Biology",0,1,45853,602,0,0.002
1988,700227,"gaston, kj",4,4,"United Kingdom","Biology",4,5,45853,602,0,0.008
1989,700227,"gaston, kj",3,14,"United Kingdom","Biology",18,8,45853,602,0,0.013
1990,700227,"gaston, kj",5,34,"United Kingdom","Biology",52,13,45853,602,0.001,0.022
1991,700227,"gaston, kj",6,42,"United Kingdom","Biology",94,19,45853,602,0.002,0.032
1992,700227,"gaston, kj",7,73,"United Kingdom","Biology",167,26,45853,602,0.004,0.043
1993,700227,"gaston, kj",10,86,"United Kingdom","Biology",253,36,45853,602,0.006,0.06
1994,700227,"gaston, kj",14,141,"United Kingdom","Biology",394,50,45853,602,0.009,0.083
1995,700227,"gaston, kj",15,137,"United Kingdom","Biology",531,65,45853,602,0.012,0.108
1996,700227,"gaston, kj",20,283,"United Kingdom","Biology",814,85,45853,602,0.018,0.141
1997,700227,"gaston, kj",22,309,"United Kingdom","Biology",1123,107,45853,602,0.024,0.178
1998,700227,"gaston, kj",21,448,"United Kingdom","Biology",1571,128,45853,602,0.034,0.213
1999,700227,"gaston, kj",20,527,"United Kingdom","Biology",2098,148,45853,602,0.046,0.246
2000,700227,"gaston, kj",20,561,"United Kingdom","Biology",2659,168,45853,602,0.058,0.279
2001,700227,"gaston, kj",13,535,"United Kingdom","Biology",3194,181,45853,602,0.07,0.301
2002,700227,"gaston, kj",28,705,"United Kingdom","Biology",3899,209,45853,602,0.085,0.347
2003,700227,"gaston, kj",22,807,"United Kingdom","Biology",4706,231,45853,602,0.103,0.384
2004,700227,"gaston, kj",24,876,"United Kingdom","Biology",5582,255,45853,602,0.122,0.424
2005,700227,"gaston, kj",33,1092,"United Kingdom","Biology",6674,288,45853,602,0.146,0.478
2006,700227,"gaston, kj",24,1338,"United Kingdom","Biology",8012,312,45853,602,0.175,0.518
2007,700227,"gaston, kj",24,1599,"United Kingdom","Biology",9611,336,45853,602,0.21,0.558
2008,700227,"gaston, kj",24,1651,"United Kingdom","Biology",11262,360,45853,602,0.246,0.598
2009,700227,"gaston, kj",42,1859,"United Kingdom","Biology",13121,402,45853,602,0.286,0.668
2010,700227,"gaston, kj",19,2044,"United Kingdom","Biology",15165,421,45853,602,0.331,0.699
2011,700227,"gaston, kj",19,2381,"United Kingdom","Biology",17546,440,45853,602,0.383,0.731
2012,700227,"gaston, kj",19,2521,"United Kingdom","Biology",20067,459,45853,602,0.438,0.762
2013,700227,"gaston, kj",22,2729,"United Kingdom","Biology",22796,481,45853,602,0.497,0.799
2014,700227,"gaston, kj",23,2937,"United Kingdom","Biology",25733,504,45853,602,0.561,0.837
2015,700227,"gaston, kj",31,3414,"United Kingdom","Biology",29147,535,45853,602,0.636,0.889
2016,700227,"gaston, kj",21,3478,"United Kingdom","Biology",32625,556,45853,602,0.712,0.924
2017,700227,"gaston, kj",19,4006,"United Kingdom","Biology",36631,575,45853,602,0.799,0.955
2018,700227,"gaston, kj",24,4544,"United Kingdom","Biology",41175,599,45853,602,0.898,0.995
2019,700227,"gaston, kj",3,4678,"United Kingdom","Biology",45853,602,45853,602,1,1
1980,3361896,"bollerslev, t",0,0,"Denmark","Economics",0,0,19941,76,0,0
1981,3361896,"bollerslev, t",0,0,"Denmark","Economics",0,0,19941,76,0,0
1982,3361896,"bollerslev, t",0,0,"Denmark","Economics",0,0,19941,76,0,0
1983,3361896,"bollerslev, t",0,0,"Denmark","Economics",0,0,19941,76,0,0
1984,3361896,"bollerslev, t",0,0,"Denmark","Economics",0,0,19941,76,0,0
1985,3361896,"bollerslev, t",1,0,"Denmark","Economics",0,1,19941,76,0,0.013
1986,3361896,"bollerslev, t",1,0,"Denmark","Economics",0,2,19941,76,0,0.026
1987,3361896,"bollerslev, t",1,2,"Denmark","Economics",2,3,19941,76,0,0.039
1988,3361896,"bollerslev, t",1,12,"Denmark","Economics",14,4,19941,76,0.001,0.053
1989,3361896,"bollerslev, t",2,44,"Denmark","Economics",58,6,19941,76,0.003,0.079
1990,3361896,"bollerslev, t",2,51,"Denmark","Economics",109,8,19941,76,0.005,0.105
1991,3361896,"bollerslev, t",1,87,"Denmark","Economics",196,9,19941,76,0.01,0.118
1992,3361896,"bollerslev, t",2,131,"Denmark","Economics",327,11,19941,76,0.016,0.145
1993,3361896,"bollerslev, t",3,156,"Denmark","Economics",483,14,19941,76,0.024,0.184
1994,3361896,"bollerslev, t",3,135,"Denmark","Economics",618,17,19941,76,0.031,0.224
1995,3361896,"bollerslev, t",1,201,"Denmark","Economics",819,18,19941,76,0.041,0.237
1996,3361896,"bollerslev, t",3,254,"Denmark","Economics",1073,21,19941,76,0.054,0.276
1997,3361896,"bollerslev, t",2,223,"Denmark","Economics",1296,23,19941,76,0.065,0.303
