ut	field	country	funder_id	funder	Type	country_funder
000268373200027	Energy	DK	360	Danish Council for Strategic Research	Public	DK
000344444600004	Energy	DK	625	Energinet.dk	Private	DK
000368563500025	Food science	DK	667	EU	Public	Supranational
000407086800002	Energy	DK	1990	Technical University of Denmark	University	DK
000330256400063	Energy	DK	625	Energinet.dk	Private	DK
000435580300279	Food science	DK	968	Innovation Fund Denmark	Public	DK
000435580300279	Food science	DK	398	Danish Ministry of Food, Agriculture and Fisheries	Public	DK
000389846300003	Food science	DK	219	Carlsberg Foundation	Non-profit	DK
000389846300003	Food science	DK	291	Copenhagen University	University	DK
000389846300003	Food science	DK	3002	EU - ERC	Public	Supranational
000406310400040	Food science	DK	154	Beijing Science and Technology Commission	NA	Other
000406310400040	Food science	DK	1408	Ministry of Science and Technology of China	Public	Other
000385488000079	Energy	DK	1445	NASA	Public	Other
000385488000079	Energy	DK	331	Danida, Denmark	Public	DK
000297707300006	Energy	DK	359	Danish Council for Independent Research	Public	DK
000297707300006	Energy	DK	625	Energinet.dk	Private	DK
000297707300006	Energy	DK	667	EU	Public	Supranational
000334828500023	Energy	DK	667	EU	Public	Supranational
000305359400015	Food science	DK	2398	Aarhus University	University	DK
000305359400015	Food science	DK	360	Danish Council for Strategic Research	Public	DK
000305359400015	Food science	DK	1173	Knud Hojgaard Foundation	NA	NA
000305359400015	Food science	DK	1524	NIH	Public	Other
000305359400015	Food science	DK	1522	Niels Bohr foundation	NA	NA
000305359400015	Food science	DK	2151	U.S. Department of Agriculture	Public	Other
000309357900001	Energy	DK	374	Danish Foreign Ministry	Public	DK
000309357900001	Energy	DK	2323	Vietnamese Government	Public	Other
000337074700041	Energy	DK	2398	Aarhus University	University	DK
000337074700041	Energy	DK	1921	State key laboratories	mixed	Other
000337074700041	Energy	DK	1464	National natural science foundation of China	Public	Other
000337074700041	Energy	DK	1888	Sino-Danish Center (SDC)	Public	DK
000432234200020	Food science	DK	968	Innovation Fund Denmark	Public	DK
000432234200020	Food science	DK	1381	Ministry of Education, Youth and Sport of Czech Republic	Public	Other
000432234200020	Food science	DK	1448	National Agency for Agricultural Research	NA	Other
000432234200020	Food science	DK	1896	Slovak Research and Development Agency	NA	Other
000432234200020	Food science	DK	963	INIA	Public	Other
000395787800001	Energy	DK	968	Innovation Fund Denmark	Public	DK
000419173100010	Food science	DK	432	Danish Veterinary and Food Administration	Public	DK
000326858500017	Energy	DK	827	German Research Foundation	Public	Other
000326858500017	Energy	DK	667	EU	Public	Supranational
000337783800021	Energy	DK	84	Andritz Oy	NA	NA
000337783800021	Energy	DK	267	Clyde Bergemann GmbH	Private	NA
000337783800021	Energy	DK	753	Foster Wheeler Energia Oy	NA	NA
000337783800021	Energy	DK	1003	International Paper Inc.	Private	NA
000337783800021	Energy	DK	1332	Metso Power Oy	NA	NA
000337783800021	Energy	DK	1391	Ministry of High Education (MOHE) of Malaysia	Public	Other
000337783800021	Energy	DK	2006	TEKES	Public	Other
000337783800021	Energy	DK	2104	Top Analytica Oy Ab	NA	NA
000337783800021	Energy	DK	2295	UPM-Kymmene Oy	NA	NA
000337783800021	Energy	DK	2199	University Malaysia Pahang (UMP)	University	NA
000449273500014	Energy	DK	1464	National natural science foundation of China	Public	Other
000375424700006	Food science	DK	667	EU	Public	Supranational
000375424700006	Food science	DK	1943	Swedish Agency for Marine and Water Management	NA	Other
